City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
4,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Lazaro Cardenas,MX,81.34,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
6,Meulaboh,ID,76.21,overcast clouds,4.1363,96.1285,Kost Pria
10,Sao Joao Da Barra,BR,71.28,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
15,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Kahului,US,82.42,broken clouds,20.8947,-156.47,Maui Seaside Hotel
20,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
23,Taihe,CN,73.83,broken clouds,30.8712,105.3845,Meifeng Holiday Inn
24,Rikitea,PF,76.44,overcast clouds,-23.1203,-134.9692,People ThankYou
25,Kirakira,SB,85.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
26,Dingzhou,CN,77.11,overcast clouds,38.5131,114.9956,宜家时尚宾馆
30,Tecolutla,MX,82.98,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
32,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Vista Roof Restaurant
33,Shenzhen,CN,85.86,overcast clouds,22.5455,114.0683,Grand Skylight
34,Shelburne,CA,70.56,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
36,Sohag,EG,84.49,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
37,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
41,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Katobu,ID,79.72,broken clouds,-4.9408,122.5276,La Ode Husein
49,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
50,Sinnamary,GF,77.81,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
52,Sampit,ID,77.13,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
54,Bulungu,CD,71.01,few clouds,-4.55,18.6,Maison MC Michel
55,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
64,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
66,Bandarbeyla,SO,78.93,overcast clouds,9.4942,50.8122,JABIR HOTEL
68,Ormara,PK,80.96,clear sky,25.2088,64.6357,Kenara Colony house for Rent
70,Atuona,PF,76.64,light rain,-9.8,-139.0333,Villa Enata
74,Hithadhoo,MV,83.77,overcast clouds,-0.6,73.0833,Scoop Guest House
76,Hilo,US,93.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
79,Auki,SB,85.17,broken clouds,-8.7676,160.7034,Auki Motel
82,Kavaratti,IN,83.68,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
96,Albany,US,72.25,clear sky,42.6001,-73.9662,
100,Pedernales,DO,80.76,overcast clouds,18.0384,-71.744,Hotel Costa Marina
102,Tabou,CI,77.7,moderate rain,4.423,-7.3528,hotêl doufoulougou
104,Bethel,US,75.04,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
106,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
108,College,US,78.22,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
110,Remanso,BR,80.31,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
