City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Shizukuishi,JP,39.6833,140.9833,59.77,66,53,6.71,broken clouds
1,Ushuaia,AR,-54.8,-68.3,42.46,49,75,14.97,broken clouds
2,Mataura,NZ,-46.1927,168.8643,46.47,81,68,2.51,broken clouds
3,Vaini,TO,-21.2,-175.2,80.76,78,20,5.75,few clouds
4,Saint-Philippe,RE,-21.3585,55.7679,71.19,73,51,13.0,broken clouds
5,Lazaro Cardenas,MX,17.9583,-102.2,81.34,67,14,11.18,few clouds
6,Meulaboh,ID,4.1363,96.1285,76.21,81,98,2.77,overcast clouds
7,Cidreira,BR,-30.1811,-50.2056,58.68,70,90,9.15,overcast clouds
8,Barrow,US,71.2906,-156.7887,33.82,80,100,20.71,overcast clouds
9,Arcata,US,40.8665,-124.0828,65.75,84,100,0.0,overcast clouds
10,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.28,81,75,18.25,broken clouds
11,Atbasar,KZ,51.8,68.3333,54.46,82,44,4.94,scattered clouds
12,Katsuura,JP,35.1333,140.3,66.65,68,100,14.45,overcast clouds
13,Busselton,AU,-33.65,115.3333,55.49,68,84,7.67,broken clouds
14,Bluff,NZ,-46.6,168.3333,46.8,74,91,10.56,overcast clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,72.55,92,99,5.99,overcast clouds
16,Stephenville Crossing,CA,48.5,-58.4318,48.33,66,20,12.66,few clouds
17,Kysyl-Syr,RU,63.8986,122.7617,67.32,53,36,8.48,scattered clouds
18,Kahului,US,20.8947,-156.47,82.42,57,75,16.11,broken clouds
19,Yellowknife,CA,62.456,-114.3525,68.56,32,20,12.66,few clouds
20,Jamestown,US,42.097,-79.2353,71.24,30,0,9.22,clear sky
21,Punta Arenas,CL,-53.15,-70.9167,42.91,49,75,19.57,broken clouds
22,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,23.02,scattered clouds
23,Taihe,CN,30.8712,105.3845,73.83,67,64,16.89,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,76.44,75,94,10.92,overcast clouds
25,Kirakira,SB,-10.4544,161.9205,85.71,64,100,11.03,overcast clouds
26,Dingzhou,CN,38.5131,114.9956,77.11,33,100,3.76,overcast clouds
27,Hobart,AU,-42.8794,147.3294,51.26,77,20,9.22,few clouds
28,Yar-Sale,RU,66.8333,70.8333,31.5,67,30,25.34,scattered clouds
29,Mount Gambier,AU,-37.8333,140.7667,49.91,93,100,9.22,overcast clouds
30,Tecolutla,MX,20.4833,-97.0167,82.98,67,2,12.24,clear sky
31,Cherskiy,RU,68.75,161.3,40.69,48,38,13.04,scattered clouds
32,Cabo San Lucas,MX,22.8909,-109.9124,84.51,47,0,11.5,clear sky
33,Shenzhen,CN,22.5455,114.0683,85.86,90,96,9.98,overcast clouds
34,Shelburne,CA,44.0787,-80.2041,70.56,81,37,7.67,scattered clouds
35,Kodiak,US,57.79,-152.4072,63.91,42,0,6.91,clear sky
36,Sohag,EG,26.557,31.6948,84.49,23,100,3.04,overcast clouds
37,Bitung,ID,1.4451,125.1824,79.65,76,93,4.76,overcast clouds
38,Chokurdakh,RU,70.6333,147.9167,45.18,46,76,11.21,broken clouds
39,Ribeira Grande,PT,38.5167,-28.7,65.12,94,99,18.63,overcast clouds
40,Khatanga,RU,71.9667,102.5,32.16,94,100,20.51,snow
41,Souillac,MU,-20.5167,57.5167,73.78,78,40,11.5,light rain
42,Katobu,ID,-4.9408,122.5276,79.72,86,70,4.03,broken clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,75,12.66,broken clouds
44,Hermanus,ZA,-34.4187,19.2345,55.2,82,28,5.28,scattered clouds
45,Hay River,CA,60.8156,-115.7999,67.98,34,20,12.66,few clouds
46,New Norfolk,AU,-42.7826,147.0587,50.92,87,56,1.01,broken clouds
47,Lusaka,ZM,-15.4067,28.2871,53.13,67,4,8.75,clear sky
48,Tuatapere,NZ,-46.1333,167.6833,46.62,75,98,3.98,overcast clouds
49,Mahebourg,MU,-20.4081,57.7,73.69,78,40,11.5,scattered clouds
50,Sinnamary,GF,5.3833,-52.95,77.81,86,100,10.51,overcast clouds
51,Kiknur,RU,57.3034,47.2011,61.36,99,100,8.01,overcast clouds
52,Sampit,ID,-2.5333,112.95,77.13,92,80,0.63,broken clouds
53,Airai,TL,-8.9266,125.4092,65.89,67,51,2.24,broken clouds
54,Bulungu,CD,-4.55,18.6,71.01,61,16,2.01,few clouds
55,Salalah,OM,17.0151,54.0924,84.29,79,40,3.44,scattered clouds
56,Maarianhamina,AX,60.0973,19.9348,44.46,100,0,2.3,clear sky
57,Lebu,CL,-37.6167,-73.65,52.61,94,99,11.27,overcast clouds
58,Traverse City,US,44.7631,-85.6206,61.99,54,20,9.22,few clouds
59,Maneromango,TZ,-7.1988,38.7848,62.8,92,0,4.45,clear sky
60,San Andres Itzapa,GT,14.62,-90.8442,67.3,97,99,0.83,overcast clouds
61,Kruisfontein,ZA,-34.0033,24.7314,52.57,49,2,6.2,clear sky
62,Severo-Kurilsk,RU,50.6789,156.125,44.4,84,97,8.37,overcast clouds
63,Saint-Augustin,CA,51.226,-58.6502,44.26,82,100,10.2,overcast clouds
64,Saint-Joseph,RE,-21.3667,55.6167,70.18,72,26,13.47,scattered clouds
65,Lokosovo,RU,61.1333,74.8167,34.3,97,100,14.5,snow
66,Bandarbeyla,SO,9.4942,50.8122,78.93,78,94,22.17,overcast clouds
67,Dikson,RU,73.5069,80.5464,25.63,87,19,18.16,few clouds
68,Ormara,PK,25.2088,64.6357,80.96,88,0,19.91,clear sky
69,Debre Tabor,ET,11.85,38.0167,55.67,68,35,0.67,scattered clouds
70,Atuona,PF,-9.8,-139.0333,76.64,81,22,14.32,light rain
71,Flin Flon,CA,54.7682,-101.865,53.44,47,75,17.27,broken clouds
72,Tavda,RU,58.0425,65.2726,36.54,68,21,5.99,few clouds
73,Campbellton,CA,48.0075,-66.6727,48.65,88,100,8.99,overcast clouds
74,Hithadhoo,MV,-0.6,73.0833,83.77,70,89,11.32,overcast clouds
75,Clyde River,CA,70.4692,-68.5914,30.43,100,100,8.05,mist
76,Hilo,US,19.7297,-155.09,93.27,81,40,9.22,moderate rain
77,Port Elizabeth,ZA,-33.918,25.5701,60.31,78,0,5.75,clear sky
78,Luderitz,NA,-26.6481,15.1594,65.37,32,1,8.01,clear sky
79,Auki,SB,-8.7676,160.7034,85.17,65,75,4.47,broken clouds
